PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0239 GALVESTON,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),5,239,239,2,1,1,2480,1,2070,34
0240 GARDEN GROVES," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),137,240,240,2,1,1,680,0,608,16
0240 GARDEN GROVES," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),132,240,240,2,1,1,680,0,608,16
0240 GARDEN GROVES," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),141,240,240,2,1,1,680,0,608,16
0240 GARDEN GROVES," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),155,240,240,2,1,1,680,0,608,16
0240 GARDEN GROVES," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),99,240,240,2,1,1,680,0,608,16
0240 GARDEN GROVES,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),16,240,240,2,1,1,680,1,608,16
0273 GUADALUPE," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),238,273,273,2,1,1,889,0,609,4
0273 GUADALUPE," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),199,273,273,2,1,1,889,0,609,4
0273 GUADALUPE," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),178,273,273,2,1,1,889,0,609,4
0273 GUADALUPE," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),123,273,273,2,1,1,889,0,609,4
0273 GUADALUPE," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),148,273,273,2,1,1,889,0,609,4
0273 GUADALUPE,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),3,273,273,2,1,1,889,1,609,4
0301 HOLLIS," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),279,301,301,2,1,1,1287,0,937,14
0301 HOLLIS," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),207,301,301,2,1,1,1287,0,937,14
0301 HOLLIS," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),278,301,301,2,1,1,1287,0,937,14
0301 HOLLIS," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),247,301,301,2,1,1,1287,0,937,14
0301 HOLLIS," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),274,301,301,2,1,1,1287,0,937,14
0301 HOLLIS,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),2,301,301,2,1,1,1287,1,937,14
0312 HUDSON," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),125,312,312,2,1,1,583,0,555,12
0312 HUDSON," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),102,312,312,2,1,1,583,0,555,12
0312 HUDSON," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),109,312,312,2,1,1,583,0,555,12
0312 HUDSON," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),86,312,312,2,1,1,583,0,555,12
0312 HUDSON," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),157,312,312,2,1,1,583,0,555,12
0312 HUDSON,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),4,312,312,2,1,1,583,1,555,12
0323 JENTILLY," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),293,323,323,2,1,1,1299,0,973,8
0323 JENTILLY," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),194,323,323,2,1,1,1299,0,973,8
